SampleCode,ShortName,LongName,ParentSample,DateProduced,Feedstock,Researcher/Student,GroupLab,PyrolysisType,Temp(C),ProcessDetails,UnitType,Capacity(mg/g),BET(m2/g),pH,Yield (%),PoreSize(units),PoreVolume(units),%C,%H,%N,%O,Density ,Hydrophobicity ,Notes,Published?
acbc0001,a,Larchwood ,,2024-02-21,Larchwood,,MacQuarrie,Slow,620,"8 deg/min, 620 deg, 180 min | nat-cooling, room",300g US ,,299.0760,8.64,26.00,22.692,0.170010,,,,,,,,
acbc0002,b,Crabshell,,2022-02-01,Crabshell,,MacQuarrie,Fast,515,"25 deg/min, 515 deg, 30 min | nat-cooling, room",100g US ,,24.1490,9.68,55.00,176.375,0.111106,,,,,,,,
acbc0003,c,Crabshell,,2019-11-14,Crabshell,,MacQuarrie,Slow,515,"5.5 deg/min, 515 deg, 150 min | nat-cooling, room",100g US ,,23.9245,9.52,50.00,213.595,0.134698,,,,,,,,
acbc0004,d,Crabshell,,2023-07-14,Crabshell,,MacQuarrie,Slow,515,"5.5 deg/min, 515 deg, 150 min | nat-cooling, room",100g US,,24.3137,10.49,50.50,172.489,0.130189,,,,,,,,
acbc0005,e,Crabshel ,,2021-04-22,Crabshell,,MacQuarrie,Slow,515,"5.5 deg/min, 515 deg, 150 min | nat-cooling, room",100g US,,41.7673,8.86,60.00,121.070,0.131645,,,,,,,,
acbc0006,f,Woody biochar not larchwood ,,2024-04-23,Hardwood,,MacQuarrie,Slow,300,"10 deg/min, 300 deg, 60 min | nat-cooling, room",300g US,,9.4000,8.04,25.20,45.939,0.009262,,,,,,,,
acbc0007,g,patchoili,,2020-03-11,Patchouli,,MacQuarrie,Slow,480,"5 deg/min, 480 deg, 120 min | nat-cooling, room",100g US,,1.3633,11.32,35.00,238.624,0.009110,,,,,,,,
acbc0008,h,fine crab larch 1:1 ,,2024-06-27,Crabshell|Larchwood(1:1),,MacQuarrie,Slow,515,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,9.1202,11.20,38.50,176.710,0.028139,,,,,,,,
acbc0009,i,crab: larch wood 1:1,,2024-05-15,Crabshell|Larchwood(1:1),,MacQuarrie,Slow,515,"5.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,14.8176,10.50,24.00,146.086,0.032956,,,,,,,,
acbc0010,J,crab (brandon),,,Crabshell,,MacQuarrie,Slow,515,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,43.5885,10.25,52.88,213.370,0.245911,,,,,,,,
acbc0011,k,50:50 crab larchwood (brandon),,,Crabshell|Larchwood(1:1),,MacQuarrie,Slow,515,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,14.1950,9.75,41.75,191.918,0.074216,,,,,,,,
acbc0012,l,80:20 crab larchwood (brandon),,,Crabshell|Larchwood(4:1),,MacQuarrie,Slow,515,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,31.7960,10.28,51.00,172.048,0.142052,,,,,,,,
